Subzone,Planning Area,Population,Population_Males,Population_Females
ADMIRALTY,Sembawang,13920.0,6860.0,7060.0
AIRPORT ROAD,Paya Lebar,,,
ALEXANDRA HILL,Bukit Merah,13490.0,6630.0,6860.0
ALEXANDRA NORTH,Bukit Merah,2630.0,1230.0,1400.0
ALJUNIED,Geylang,39990.0,19740.0,20250.0
ANAK BUKIT,Bukit Timah,21870.0,10370.0,11500.0
ANCHORVALE,Sengkang,48120.0,23700.0,24420.0
ANG MO KIO TOWN CENTRE,Ang Mo Kio,4810.0,2260.0,2550.0
ANSON,Downtown Core,,,
BAHAR,Western Water Catchment,,,
BALESTIER,Novena,32430.0,15670.0,16760.0
BANGKIT,Bukit Panjang,22270.0,11010.0,11260.0
BAYFRONT SUBZONE,Downtown Core,,,
BAYSHORE,Bedok,7450.0,3580.0,3870.0
BEDOK NORTH,Bedok,81840.0,39700.0,42140.0
BEDOK RESERVOIR,Bedok,25470.0,12480.0,12990.0
BEDOK SOUTH,Bedok,46700.0,22540.0,24160.0
BENCOOLEN,Rochor,1310.0,620.0,690.0
BENDEMEER,Kallang,37570.0,18240.0,19330.0
BENOI SECTOR,Pioneer,,,
BIDADARI,Toa Payoh,,,
BISHAN EAST,Bishan,28300.0,13420.0,14880.0
BOAT QUAY,Singapore River,130.0,70.0,60.0
BOON KENG,Kallang,11790.0,5630.0,6160.0
BOON LAY PLACE,Jurong West,29330.0,15060.0,14270.0
BOON TECK,Toa Payoh,14660.0,7210.0,7450.0
BOULEVARD,Orchard,410.0,210.0,200.0
BRADDELL,Toa Payoh,9800.0,4590.0,5210.0
BRAS BASAH,Museum,,,
BRICKLAND,Tengah,,,
BRICKWORKS,Bukit Batok,19820.0,9800.0,10020.0
BUGIS,Downtown Core,890.0,440.0,450.0
BUKIT BATOK CENTRAL,Bukit Batok,27290.0,13290.0,14000.0
BUKIT BATOK EAST,Bukit Batok,12700.0,6290.0,6410.0
BUKIT BATOK SOUTH,Bukit Batok,14930.0,7360.0,7570.0
BUKIT BATOK WEST,Bukit Batok,15000.0,7300.0,7700.0
BUKIT HO SWEE,Bukit Merah,14390.0,7050.0,7340.0
BUKIT MERAH,Bukit Merah,1120.0,550.0,570.0
CAIRNHILL,Newton,3890.0,1830.0,2060.0
CECIL,Downtown Core,260.0,130.0,130.0
CENTRAL SUBZONE,Downtown Core,880.0,410.0,470.0
CENTRAL WATER CATCHMENT,Central Water Catchment,,,
CHANGI AIRPORT,Changi,,,
CHANGI BAY,Changi Bay,,,
CHANGI POINT,Changi,540.0,300.0,240.0
CHANGI WEST,Changi,1310.0,660.0,650.0
CHATSWORTH,Tanglin,6880.0,3190.0,3690.0
CHENG SAN,Ang Mo Kio,28080.0,13480.0,14600.0
CHIN BEE,Jurong West,,,
CHINA SQUARE,Outram,1430.0,670.0,760.0
CHINATOWN,Outram,10490.0,5040.0,5450.0
CHOA CHU KANG CENTRAL,Choa Chu Kang,22520.0,11180.0,11340.0
CHOA CHU KANG NORTH,Choa Chu Kang,31930.0,15860.0,16070.0
CHONG BOON,Ang Mo Kio,26500.0,12860.0,13640.0
CITY HALL,Downtown Core,,,
CITY TERMINALS,Bukit Merah,,,
CLARKE QUAY,Singapore River,120.0,70.0,50.0
CLEANTECH,Western Water Catchment,,,
CLEMENTI CENTRAL,Clementi,14000.0,6600.0,7400.0
CLEMENTI NORTH,Clementi,28810.0,13400.0,15410.0
CLEMENTI WEST,Clementi,15260.0,7310.0,7950.0
CLEMENTI WOODS,Clementi,16000.0,7660.0,8340.0
CLIFFORD PIER,Downtown Core,,,
COMMONWEALTH,Queenstown,7000.0,3230.0,3770.0
COMPASSVALE,Sengkang,20960.0,10170.0,10790.0
CONEY ISLAND,Punggol,,,
CORONATION ROAD,Bukit Timah,6700.0,3050.0,3650.0
CRAWFORD,Kallang,8380.0,4630.0,3750.0
DAIRY FARM,Bukit Panjang,6940.0,3350.0,3590.0
DEFU INDUSTRIAL PARK,Hougang,,,
DEPOT ROAD,Bukit Merah,6540.0,3090.0,3450.0
DHOBY GHAUT,Museum,320.0,160.0,160.0
DOVER,Queenstown,11080.0,5260.0,5820.0
DUNEARN,Novena,3950.0,1800.0,2150.0
EAST COAST,Marine Parade,,,
EVERTON PARK,Bukit Merah,7800.0,3680.0,4120.0
FABER,Clementi,5360.0,2620.0,2740.0
FAJAR,Bukit Panjang,27820.0,13870.0,13950.0
FARRER COURT,Bukit Timah,6180.0,2900.0,3280.0
FARRER PARK,Rochor,2660.0,1350.0,1310.0
FERNVALE,Sengkang,58810.0,28860.0,29950.0
FLORA DRIVE,Pasir Ris,14670.0,7200.0,7470.0
FOREST HILL,Tengah,,,
FORT CANNING,Museum,180.0,90.0,90.0
FRANKEL,Bedok,34490.0,16260.0,18230.0
GALI BATU,Sungei Kadut,,,
GARDEN,Tengah,,,
GEYLANG BAHRU,Kallang,11280.0,5620.0,5660.0
GEYLANG EAST,Geylang,29920.0,14540.0,15380.0
GHIM MOH,Queenstown,13850.0,6470.0,7380.0
GOMBAK,Bukit Batok,9930.0,4840.0,5090.0
GOODWOOD PARK,Newton,1260.0,600.0,660.0
GREENWOOD PARK,Woodlands,,,
GUILIN,Bukit Batok,12940.0,6290.0,6650.0
GUL BASIN,Pioneer,,,
GUL CIRCLE,Pioneer,,,
HENDERSON HILL,Bukit Merah,13320.0,6490.0,6830.0
HILLCREST,Bukit Timah,9470.0,4170.0,5300.0
HILLVIEW,Bukit Batok,19290.0,9290.0,10000.0
HOLLAND DRIVE,Queenstown,12680.0,5760.0,6920.0
HOLLAND ROAD,Bukit Timah,10840.0,4800.0,6040.0
HONG KAH,Jurong West,53880.0,26650.0,27230.0
HONG KAH NORTH,Bukit Batok,26150.0,13030.0,13120.0
HOUGANG CENTRAL,Hougang,4720.0,2350.0,2370.0
HOUGANG EAST,Hougang,24920.0,12110.0,12810.0
HOUGANG WEST,Hougang,45460.0,22410.0,23050.0
INSTITUTION HILL,River Valley,3150.0,1500.0,1650.0
INTERNATIONAL BUSINESS PARK,Jurong East,,,
ISTANA NEGARA,Newton,,,
JELEBU,Bukit Panjang,31310.0,15370.0,15940.0
JOO KOON,Pioneer,,,
JOO SENG,Toa Payoh,8150.0,4030.0,4120.0
JURONG GATEWAY,Jurong East,450.0,210.0,240.0
JURONG ISLAND AND BUKOM,Western Islands,,,
JURONG PORT,Jurong East,,,
JURONG RIVER,Jurong East,,,
JURONG WEST CENTRAL,Jurong West,63760.0,31810.0,31950.0
KAKI BUKIT,Bedok,37150.0,18210.0,18940.0
KALLANG BAHRU,Kallang,,,
KALLANG WAY,Geylang,,,
KAMPONG BUGIS,Kallang,920.0,460.0,460.0
KAMPONG GLAM,Rochor,120.0,80.0,40.0
KAMPONG JAVA,Kallang,10530.0,5140.0,5390.0
KAMPONG TIONG BAHRU,Bukit Merah,9000.0,4440.0,4560.0
KAMPONG UBI,Geylang,11800.0,5890.0,5910.0
KANGKAR,Hougang,32280.0,15740.0,16540.0
KATONG,Marine Parade,9350.0,4440.0,4910.0
KEAT HONG,Choa Chu Kang,38180.0,19010.0,19170.0
KEBUN BAHRU,Ang Mo Kio,22630.0,10660.0,11970.0
KEMBANGAN,Bedok,37470.0,18460.0,19010.0
KENT RIDGE,Queenstown,,,
KHATIB,Yishun,10250.0,4980.0,5270.0
KIAN TECK,Jurong West,,,
KIM KEAT,Toa Payoh,7970.0,3840.0,4130.0
KOVAN,Hougang,24800.0,11960.0,12840.0
KRANJI,Sungei Kadut,,,
LAKESIDE (BUSINESS),Jurong East,,,
LAKESIDE (LEISURE),Jurong East,1070.0,570.0,500.0
LAVENDER,Kallang,9680.0,5070.0,4610.0
LEEDON PARK,Bukit Timah,6440.0,2960.0,3480.0
LEONIE HILL,River Valley,3120.0,1430.0,1690.0
LIM CHU KANG,Lim Chu Kang,110.0,60.0,50.0
LITTLE INDIA,Rochor,3260.0,1680.0,1580.0
LIU FANG,Boon Lay,,,
LORONG 8 TOA PAYOH,Toa Payoh,7150.0,3420.0,3730.0
LORONG AH SOO,Hougang,32320.0,15270.0,17050.0
LORONG CHUAN,Serangoon,8490.0,4090.0,4400.0
LORONG HALUS,Hougang,,,
LORONG HALUS NORTH,Sengkang,,,
LOWER SELETAR,Yishun,18660.0,9240.0,9420.0
LOYANG EAST,Pasir Ris,2140.0,1060.0,1080.0
LOYANG WEST,Pasir Ris,220.0,100.0,120.0
MACKENZIE,Rochor,110.0,60.0,50.0
MACPHERSON,Geylang,28370.0,14070.0,14300.0
MALCOLM,Novena,2950.0,1380.0,1570.0
MANDAI EAST,Mandai,,,
MANDAI ESTATE,Mandai,2090.0,990.0,1100.0
MANDAI WEST,Mandai,,,
MARGARET DRIVE,Queenstown,16090.0,7710.0,8380.0
MARINA CENTRE,Downtown Core,,,
MARINA EAST,Marina East,,,
MARINA EAST (MP),Marine Parade,,,
MARINA SOUTH,Marina South,,,
MARINE PARADE,Marine Parade,26880.0,12530.0,14350.0
MARITIME SQUARE,Bukit Merah,3620.0,1770.0,1850.0
MARYMOUNT,Bishan,29620.0,14680.0,14940.0
MATILDA,Punggol,52200.0,25610.0,26590.0
MAXWELL,Downtown Core,,,
MEI CHIN,Queenstown,15560.0,7350.0,8210.0
MIDVIEW,Woodlands,35270.0,17660.0,17610.0
MONK'S HILL,Newton,1030.0,520.0,510.0
MOULMEIN,Novena,9300.0,4720.0,4580.0
MOUNT EMILY,Rochor,1630.0,770.0,860.0
MOUNT PLEASANT,Novena,690.0,350.0,340.0
MOUNTBATTEN,Marine Parade,9980.0,4720.0,5260.0
MURAI,Western Water Catchment,640.0,290.0,350.0
NASSIM,Tanglin,9520.0,4410.0,5110.0
NATIONAL UNIVERSITY OF S'PORE,Queenstown,240.0,70.0,170.0
NATURE RESERVE,Bukit Panjang,3850.0,1810.0,2040.0
NEE SOON,Yishun,890.0,440.0,450.0
NEWTON CIRCUS,Newton,250.0,140.0,110.0
NICOLL,Downtown Core,290.0,150.0,140.0
NORTH COAST,Woodlands,12100.0,6130.0,5970.0
NORTH-EASTERN ISLANDS,North-Eastern Islands,,,
NORTHLAND,Yishun,28000.0,13930.0,14070.0
NORTHSHORE,Punggol,450.0,230.0,220.0
ONE NORTH,Queenstown,720.0,350.0,370.0
ONE TREE HILL,River Valley,2060.0,910.0,1150.0
ORANGE GROVE,Newton,1790.0,840.0,950.0
OXLEY,River Valley,1490.0,670.0,820.0
PANDAN,Clementi,,,
PANG SUA,Sungei Kadut,,,
PARK,Tengah,,,
PASIR PANJANG 1,Queenstown,4500.0,2200.0,2300.0
PASIR PANJANG 2,Queenstown,3060.0,1490.0,1570.0
PASIR RIS CENTRAL,Pasir Ris,32240.0,15750.0,16490.0
PASIR RIS DRIVE,Pasir Ris,54420.0,26940.0,27480.0
PASIR RIS PARK,Pasir Ris,7620.0,3760.0,3860.0
PASIR RIS WAFER FAB PARK,Pasir Ris,,,
PASIR RIS WEST,Pasir Ris,35790.0,17720.0,18070.0
PATERSON,River Valley,240.0,110.0,130.0
PAYA LEBAR EAST,Paya Lebar,,,
PAYA LEBAR NORTH,Paya Lebar,,,
PAYA LEBAR WEST,Paya Lebar,,,
PEARL'S HILL,Outram,6120.0,3370.0,2750.0
PEI CHUN,Toa Payoh,10360.0,4940.0,5420.0
PENG SIANG,Choa Chu Kang,34730.0,17340.0,17390.0
PENJURU CRESCENT,Jurong East,,,
PEOPLE'S PARK,Outram,300.0,140.0,160.0
PHILLIP,Downtown Core,,,
PIONEER SECTOR,Pioneer,,,
PLAB,Paya Lebar,,,
PLANTATION,Tengah,,,
PORT,Queenstown,120.0,60.0,60.0
POTONG PASIR,Toa Payoh,11720.0,5660.0,6060.0
PULAU PUNGGOL BARAT,Seletar,,,
PULAU PUNGGOL TIMOR,Seletar,,,
PULAU SELETAR,Simpang,,,
PUNGGOL CANAL,Punggol,,,
PUNGGOL FIELD,Punggol,48960.0,24120.0,24840.0
PUNGGOL TOWN CENTRE,Punggol,22260.0,10920.0,11340.0
QUEENSWAY,Queenstown,270.0,130.0,140.0
RAFFLES PLACE,Downtown Core,,,
REDHILL,Bukit Merah,10620.0,5150.0,5470.0
RESERVOIR VIEW,Sungei Kadut,,,
RIDOUT,Tanglin,1520.0,690.0,830.0
RIVERVALE,Sengkang,59690.0,29460.0,30230.0
ROBERTSON QUAY,Singapore River,3000.0,1390.0,1610.0
ROCHOR CANAL,Rochor,,,
SAFTI,Jurong West,,,
SAMULUN,Boon Lay,,,
SAUJANA,Bukit Panjang,25920.0,12830.0,13090.0
SELEGIE,Rochor,210.0,110.0,100.0
SELETAR,Seletar,280.0,130.0,150.0
SELETAR AEROSPACE PARK,Seletar,,,
SELETAR HILLS,Serangoon,14710.0,7250.0,7460.0
SEMAKAU,Western Islands,,,
SEMBAWANG CENTRAL,Sembawang,34800.0,17060.0,17740.0
SEMBAWANG EAST,Sembawang,17340.0,8550.0,8790.0
SEMBAWANG HILLS,Ang Mo Kio,6860.0,3210.0,3650.0
SEMBAWANG NORTH,Sembawang,25540.0,12750.0,12790.0
SEMBAWANG SPRINGS,Sembawang,9090.0,4480.0,4610.0
SEMBAWANG STRAITS,Sembawang,1910.0,980.0,930.0
SENGKANG TOWN CENTRE,Sengkang,61790.0,30290.0,31500.0
SENGKANG WEST,Sengkang,,,
SENJA,Bukit Panjang,20180.0,9920.0,10260.0
SENNETT,Toa Payoh,7200.0,3480.0,3720.0
SENOKO NORTH,Sembawang,,,
SENOKO SOUTH,Sembawang,,,
SENOKO WEST,Woodlands,,,
SENTOSA,Southern Islands,1940.0,920.0,1020.0
SERANGOON CENTRAL,Serangoon,24760.0,11800.0,12960.0
SERANGOON GARDEN,Serangoon,36080.0,17220.0,18860.0
SERANGOON NORTH,Serangoon,15940.0,7840.0,8100.0
SERANGOON NORTH IND ESTATE,Serangoon,,,
SHANGRI-LA,Ang Mo Kio,15960.0,7780.0,8180.0
SHIPYARD,Boon Lay,,,
SIGLAP,Bedok,6440.0,2980.0,3460.0
SIMEI,Tampines,39450.0,19050.0,20400.0
SIMPANG NORTH,Simpang,,,
SIMPANG SOUTH,Simpang,,,
SINGAPORE GENERAL HOSPITAL,Bukit Merah,,,
SINGAPORE POLYTECHNIC,Queenstown,,,
SOMERSET,Orchard,140.0,60.0,80.0
SOUTHERN GROUP,Southern Islands,,,
SPRINGLEAF,Yishun,4370.0,2180.0,2190.0
STRAITS VIEW,Straits View,,,
SUDONG,Western Islands,,,
SUNGEI ROAD,Rochor,2050.0,1020.0,1030.0
SUNSET WAY,Clementi,5650.0,2640.0,3010.0
SWISS CLUB,Bukit Timah,5350.0,2470.0,2880.0
TAGORE,Ang Mo Kio,7950.0,3790.0,4160.0
TAI SENG,Hougang,13830.0,6670.0,7160.0
TAMAN JURONG,Jurong West,39920.0,19920.0,20000.0
TAMPINES EAST,Tampines,130970.0,63960.0,67010.0
TAMPINES NORTH,Tampines,8040.0,3950.0,4090.0
TAMPINES WEST,Tampines,79660.0,39150.0,40510.0
TANGLIN,Orchard,380.0,170.0,210.0
TANGLIN HALT,Queenstown,10590.0,4960.0,5630.0
TANJONG IRAU,Simpang,,,
TANJONG PAGAR,Downtown Core,670.0,350.0,320.0
TANJONG RHU,Kallang,11110.0,5230.0,5880.0
TEBAN GARDENS,Jurong East,18530.0,9250.0,9280.0
TECK WHYE,Choa Chu Kang,24330.0,12190.0,12140.0
TELOK BLANGAH DRIVE,Bukit Merah,19310.0,9170.0,10140.0
TELOK BLANGAH RISE,Bukit Merah,12160.0,5740.0,6420.0
TELOK BLANGAH WAY,Bukit Merah,9230.0,4610.0,4620.0
TENGAH INDUSTRIAL ESTATE,Tengah,,,
TENGEH,Tuas,,,
THE WHARVES,Sembawang,,,
TIONG BAHRU,Bukit Merah,12890.0,5990.0,6900.0
TIONG BAHRU STATION,Bukit Merah,15120.0,7140.0,7980.0
TOA PAYOH CENTRAL,Toa Payoh,28030.0,12960.0,15070.0
TOA PAYOH WEST,Toa Payoh,14350.0,6570.0,7780.0
TOH GUAN,Jurong East,14590.0,7230.0,7360.0
TOH TUCK,Clementi,,,
TOWNSVILLE,Ang Mo Kio,21140.0,9930.0,11210.0
TRAFALGAR,Hougang,49190.0,24950.0,24240.0
TUAS BAY,Tuas,,,
TUAS NORTH,Tuas,,,
TUAS PROMENADE,Tuas,,,
TUAS VIEW,Tuas,,,
TUAS VIEW EXTENSION,Tuas,,,
TUKANG,Boon Lay,,,
TURF CLUB,Sungei Kadut,670.0,330.0,340.0
TYERSALL,Tanglin,3880.0,1810.0,2070.0
ULU PANDAN,Bukit Timah,11020.0,5280.0,5740.0
UPPER PAYA LEBAR,Serangoon,16920.0,8160.0,8760.0
UPPER THOMSON,Bishan,29390.0,14160.0,15230.0
VICTORIA,Rochor,1760.0,840.0,920.0
WATERWAY EAST,Punggol,50580.0,25050.0,25530.0
WENYA,Jurong West,8280.0,4170.0,4110.0
WEST COAST,Clementi,6870.0,3370.0,3500.0
WOODGROVE,Woodlands,33790.0,16870.0,16920.0
WOODLANDS EAST,Woodlands,98990.0,49490.0,49500.0
WOODLANDS REGIONAL CENTRE,Woodlands,,,
WOODLANDS SOUTH,Woodlands,41010.0,20540.0,20470.0
WOODLANDS WEST,Woodlands,33910.0,17260.0,16650.0
WOODLEIGH,Toa Payoh,2460.0,1200.0,1260.0
XILIN,Tampines,1770.0,890.0,880.0
YEW TEE,Choa Chu Kang,40380.0,20100.0,20280.0
YIO CHU KANG,Ang Mo Kio,,,
YIO CHU KANG EAST,Ang Mo Kio,4210.0,2090.0,2120.0
