Subzone,Planning Area,Population,Population_Males,Population_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
ADMIRALTY,Sembawang,13920.0,6860.0,7060.0,9780.0,4830.0,4950.0,2250.0,1090.0,1160.0,1350.0,680.0,670.0,550.0,270.0,280.0
AIRPORT ROAD,Paya Lebar,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEXANDRA HILL,Bukit Merah,13490.0,6630.0,6860.0,9850.0,4770.0,5080.0,1950.0,1000.0,950.0,1410.0,740.0,670.0,280.0,120.0,160.0
ALEXANDRA NORTH,Bukit Merah,2630.0,1230.0,1400.0,2200.0,1010.0,1190.0,20.0,10.0,10.0,230.0,110.0,120.0,180.0,100.0,80.0
ALJUNIED,Geylang,39990.0,19740.0,20250.0,33870.0,16680.0,17190.0,2300.0,1140.0,1160.0,2330.0,1230.0,1100.0,1500.0,690.0,810.0
ANAK BUKIT,Bukit Timah,21870.0,10370.0,11500.0,19930.0,9400.0,10530.0,210.0,90.0,120.0,880.0,430.0,450.0,850.0,440.0,410.0
ANCHORVALE,Sengkang,48120.0,23700.0,24420.0,37360.0,18350.0,19010.0,5370.0,2650.0,2720.0,4190.0,2170.0,2030.0,1200.0,530.0,670.0
ANG MO KIO TOWN CENTRE,Ang Mo Kio,4810.0,2260.0,2550.0,4140.0,1950.0,2200.0,140.0,60.0,80.0,370.0,170.0,200.0,160.0,80.0,80.0
ANSON,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAHAR,Western Water Catchment,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BALESTIER,Novena,32430.0,15670.0,16760.0,26610.0,12820.0,13790.0,1600.0,780.0,820.0,3010.0,1540.0,1470.0,1210.0,520.0,690.0
BANGKIT,Bukit Panjang,22270.0,11010.0,11260.0,16630.0,8190.0,8440.0,3800.0,1900.0,1900.0,1420.0,740.0,680.0,410.0,170.0,240.0
BAYFRONT SUBZONE,Downtown Core,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAYSHORE,Bedok,7450.0,3580.0,3870.0,5090.0,2370.0,2710.0,130.0,50.0,80.0,1590.0,790.0,800.0,650.0,370.0,290.0
BEDOK NORTH,Bedok,81840.0,39700.0,42140.0,57440.0,27640.0,29800.0,15580.0,7750.0,7820.0,6200.0,3180.0,3020.0,2620.0,1130.0,1500.0
BEDOK RESERVOIR,Bedok,25470.0,12480.0,12990.0,19150.0,9340.0,9810.0,3270.0,1610.0,1660.0,2220.0,1140.0,1080.0,830.0,390.0,440.0
BEDOK SOUTH,Bedok,46700.0,22540.0,24160.0,36480.0,17450.0,19030.0,4570.0,2250.0,2320.0,3410.0,1740.0,1660.0,2240.0,1100.0,1140.0
BENCOOLEN,Rochor,1310.0,620.0,690.0,970.0,450.0,520.0,40.0,20.0,20.0,250.0,120.0,130.0,50.0,20.0,30.0
BENDEMEER,Kallang,37570.0,18240.0,19330.0,31040.0,14910.0,16130.0,1380.0,690.0,700.0,4450.0,2340.0,2110.0,690.0,300.0,390.0
BENOI SECTOR,Pioneer,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIDADARI,Toa Payoh,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BISHAN EAST,Bishan,28300.0,13420.0,14880.0,23910.0,11290.0,12620.0,1260.0,610.0,650.0,2360.0,1170.0,1190.0,780.0,360.0,420.0
BOAT QUAY,Singapore River,130.0,70.0,60.0,90.0,50.0,50.0,0.0,0.0,0.0,10.0,10.0,10.0,30.0,20.0,10.0
